municipio;ano;codigo;quant__estabelecimentos;dummy_mtpb;PREC2017_mean;TEMP_2017_mean;area_fr;s_assistencia_fr;despesas_fr;idade_m75_fr;producao_fr;propietarios_fr;quant_estab_irrigacao_fr;quant_pessoas_ocupadas_fr;quant_trator_implem_fr;num_estab_armazenadoras_fr
Vassouras (RJ);2017;3306206;50;0;945,2;21,383333;88,2763;0,52;34,63966;0,34;20,7065;0,34;0,56;3,96;0,5;0
Alcobaça (BA);2017;2900801;677;0;1380,2;26,0475;7,445618907;0,745937962;5,689320532;0,228951256;20,68714476;0,228951256;0,032496307;3,370753323;0,059084195;0,005908419
Ipira (SC);2017;4207601;152;0;1939,1;18,75;15,72966447;0,552631579;14,287625;0,322368421;20,64419737;0,322368421;0,013157895;2,217105263;0,315789474;0,565789474
Lago dos Rodrigues (MA);2017;2105948;154;1;1660,7;28,193333;8,703272727;0,954545455;3,389597403;0,149350649;20,61975325;0,149350649;0,006493506;3,012987013;0,019480519;0
São Brás do Suaçuí (MG);2017;3160900;17;0;1119,7;18,48;24,01764706;0,882352941;11,81341176;0,058823529;20,61470588;0,058823529;0;1,764705882;0,352941176;0,176470588
Araçagi (PB);2017;2500809;1125;0;785,2;25,82;6,638750222;0,860444444;10,71933956;0,239111111;20,61188622;0,239111111;0,142222222;2,784;0,029333333;0,026666667
Barcarena (PA);2017;1501303;483;0;2959,8;27,653333;7,866944099;0,954451346;9,814134576;0,16563147;20,58816977;0,16563147;0,045548654;3,223602484;NA;NA
Cuité de Mamanguape (PB);2017;2505238;372;0;785,2;25,82;6,949282258;0,98655914;6,852741935;0,220430108;20,53865054;0,220430108;0,02688172;2,134408602;0,029569892;0,002688172
Corumbá (MS);2017;5003207;285;0;1148,207692;27,059231;50,02607018;0,870175439;10,49814737;0,235087719;20,52325965;0,235087719;0,203508772;2,715789474;0,115789474;0,007017544
Apodi (RN);2017;2401008;654;0;642,8;27,113333;21,53890214;0,926605505;80,3368318;0,155963303;20,50837462;0,155963303;0,399082569;6,006116208;0,224770642;0,108562691
Colatina (ES);2017;3201506;74;0;1133,5;24,51;15,63662162;0,891891892;17,21101351;0,202702703;20,50455405;0,202702703;0,689189189;2,337837838;0,297297297;0,040540541
Acará (PA);2017;1500206;3743;0;2783,457143;27,728571;22,57143334;0,972749132;4,462603794;0,14961261;20,49731766;0,14961261;0,007747796;3,044616618;0,008014961;0,004808977
Santana de Cataguases (MG);2017;3158409;4;0;888;22,77;14,05675;0,75;6,34625;0;20,445;0;0;1,5;0;NA
Careaçu (MG);2017;3113602;34;0;1019,8;19,31;17,22470588;0,705882353;12,03788235;0,264705882;20,42988235;0,264705882;0,029411765;1,647058824;0,235294118;0,029411765
Bom Jesus do Amparo (MG);2017;3107703;34;0;930,7;20,135;50,382;0,882352941;44,12623529;0,588235294;20,41529412;0,588235294;0,058823529;2,705882353;0,323529412;0
Catolândia (BA);2017;2907400;115;1;701,5;25,095;20,35573043;0,982608696;4,099973913;0,391304348;20,40056522;0,391304348;0,182608696;2,869565217;NA;0
Sobradinho (BA);2017;2930774;141;0;159,4;26,12;34,07087943;0,822695035;15,86280851;0,255319149;20,36634752;0,255319149;0,914893617;2,680851064;0,085106383;0
Cana Verde (MG);2017;3111903;38;0;1016;19,43;30,82557895;0,631578947;40,09292105;0,421052632;20,33528947;0,421052632;0;1,947368421;0,789473684;0,473684211
Horizonte (CE);2017;2305233;115;0;881,5;27,495;10,7700087;0,973913043;17,58826087;0,356521739;20,3052;0,356521739;0,12173913;3,173913043;0,156521739;0,008695652
Santa Terezinha do Progresso (SC);2017;4215687;161;0;2694;20,29;10,75815528;0,608695652;14,12606211;0,248447205;20,28103106;0,248447205;0,00621118;1,956521739;0,086956522;0,242236025
Barcelos (AM);2017;1300409;668;0;1800,155;27,786333;8,773664671;0,908682635;3,24592515;0,128742515;20,28048353;0,128742515;0,008982036;3,079341317;NA;0
Siqueira Campos (PR);2017;4126603;117;0;1590,8;20,24;13,01774359;0,931623932;17,25347009;0,222222222;20,2424359;0,222222222;0,068376068;1,948717949;0,341880342;0,076923077
Palmeiras do Tocantins (TO);2017;1713809;55;1;1662,2;27,716667;50,42065455;0,981818182;15,85412727;0,218181818;20,21034545;0,218181818;0,163636364;3,545454545;0,090909091;0
Curral de Cima (PB);2017;2505279;593;0;785,2;25,82;6,667747049;0,967959528;7,660021922;0,31703204;20,20859359;0,31703204;0,091062395;2,182124789;0,028667791;0,011804384
Botuverá (SC);2017;4202701;117;0;1545,1;20,22;14,50436752;0,794871795;6,940675214;0,205128205;20,19892308;0,205128205;0,008547009;2,230769231;0,418803419;NA
Marliéria (MG);2017;3140308;17;0;958,4;22,185;47,45647059;0,882352941;27,43158824;0,176470588;20,19647059;0,176470588;0,058823529;1,764705882;NA;0
São Tiago (MG);2017;3165008;122;0;1120,75;18,765;25,09122131;0,786885246;26,538;0,213114754;20,14554918;0,213114754;0,008196721;2,852459016;0,18852459;0,024590164
Siderópolis (SC);2017;4217600;63;0;1437,8;20,245;13,45777778;0,46031746;29,92688889;0,301587302;20,04568254;0,301587302;0,079365079;2,793650794;0,523809524;0,015873016
NA;2017;4315107;602;0;2628,2;21,975;14,36236711;0,249169435;11,31842359;0,265780731;20,02690864;0,265780731;0,029900332;2,363787375;0,315614618;0,031561462
Maraã (AM);2017;1302801;406;0;3026,716667;27,868889;4,819637931;0,972906404;5,088396552;0,103448276;20,00734975;0,103448276;0,007389163;3,775862069;0;0,002463054
Tomé0Açu (PA);2017;1508001;1241;0;2431,057143;27,808571;27,3652216;0,978243352;3,265915391;0,146655923;19,99886543;0,146655923;0,070910556;2,829170024;0,025785657;0,003223207
Paiva (MG);2017;3146602;5;0;1021,6;20,83;14,131;0,2;7,912;0,6;19,9748;0,6;NA;2,2;0;NA
Bonfim (MG);2017;3108107;127;0;1136,3;19,26;17,54262992;0,88976378;15,98635433;0,267716535;19,97187402;0,267716535;0,11023622;1,976377953;0,125984252;0,102362205
Capela (SE);2017;2801306;679;0;1217,65;25,745;14,47030633;0,951399116;22,72113844;0,265095729;19,9578704;0,265095729;0,019145803;3,885125184;0,17083947;0,001472754
Matos Costa (SC);2017;4210704;109;0;1953,1;16,486667;37,67299083;0,697247706;14,18312844;0,220183486;19,94733945;0,220183486;0,073394495;3,229357798;0,550458716;0,155963303
Funilândia (MG);2017;3127206;32;0;905,25;20,9;79,2021875;0,78125;22,8739375;0,5;19,8845625;0,5;0,21875;2,9375;0,3125;0,03125
Mirante da Serra (RO);2017;1101302;52;0;1498,8;24,77;8,256346154;0,942307692;6,201096154;0,192307692;19,84440385;0,192307692;0,057692308;2,115384615;0;0
Parauapebas (PA);2017;1505536;271;0;1367,455556;27,42;11,36256827;0,89298893;7,669151292;0,143911439;19,77767528;0,143911439;0,062730627;3,413284133;0,055350554;0,011070111
Normandia (RR);2017;1400407;541;0;1461,314286;26,904286;14,49312015;0,931608133;11,6500037;0,112754159;19,77117375;0,112754159;0,118299445;4,256931608;0,066543438;0,001848429
Águas de Lindóia (SP);2017;3500501;6;0;1199,5;20,075;20,10166667;0,333333333;44,29716667;0,666666667;19,74833333;0,666666667;0;2,833333333;1,666666667;0,666666667
Seara (SC);2017;4217501;221;0;2371,7;20,27;14,6721267;0,660633484;17,98771946;0,312217195;19,74047511;0,312217195;0,036199095;2,190045249;0,628959276;0,208144796
Queimados (RJ);2017;3304144;50;0;945,2;22,49;4,9864;0,78;5,55606;0,3;19,73658;0,3;0,12;1,62;NA;NA
Treviso (SC);2017;4218350;62;0;1437,8;18,845;17,31935484;0,435483871;11,3626129;0,274193548;19,73177419;0,274193548;0,032258065;2,516129032;0,564516129;NA
Cariacica (ES);2017;3201308;48;0;1266,1;23,6;13,578375;0,875;14,37977083;0,25;19,70745833;0,25;0,25;2,270833333;NA;0,041666667
Além Paraíba (MG);2017;3101508;49;0;888;22,3;69,79771429;0,693877551;23,64765306;0,326530612;19,60171429;0,326530612;0,102040816;2,673469388;0,346938776;0
Porto Vitória (PR);2017;4120309;122;0;2048,8;16,65;29,40965574;0,663934426;11,78807377;0,18852459;19,58796721;0,18852459;0,016393443;2,631147541;0,614754098;0,213114754
Aurelino Leal (BA);2017;2902401;8;0;1530;23,6;25,875;0,875;10,34025;0,5;19,4595;0,5;0;2,625;0;0
Encantado (RS);2017;4306809;189;0;1760,6;19,605;10,51390476;0,682539683;13,95486243;0,529100529;19,43843915;0,529100529;0,005291005;1,947089947;0,375661376;0
Capitão Enéas (MG);2017;3112703;36;0;711,85;25,2;128,3966667;0,722222222;33,46525;0,333333333;19,379;0,333333333;0,638888889;3,722222222;0,527777778;0
Barra do Chapéu (SP);2017;3505351;143;0;1556,2;19,3675;14,69044755;0,902097902;19,70586713;0,244755245;19,25986014;0,244755245;0,195804196;2,188811189;0,384615385;0,223776224
Laranjal do Jari (AP);2017;1600279;183;0;2093,091304;26,745217;61,2098306;0,830601093;9,168601093;0,142076503;19,22281967;0,142076503;0,027322404;3,010928962;NA;0
Santana do Garambéu (MG);2017;3158706;31;0;1063,4;18,765;40,0503871;0,774193548;23,33796774;0,225806452;19,21835484;0,225806452;0,032258065;2,903225806;0,096774194;0
Casimiro de Abreu (RJ);2017;3301306;47;0;860;23,096667;37,4086383;0,617021277;19,4853617;0,191489362;19,20495745;0,191489362;0,106382979;3,340425532;0,361702128;0,063829787
Serranos (MG);2017;3167004;39;0;1105,2;18,445;64,02641026;0,615384615;25,66428205;0,307692308;19,17558974;0,307692308;0,102564103;1,666666667;0,846153846;0,358974359
Óbidos (PA);2017;1505106;1367;0;2366,821739;27,525652;37,54143965;0,989758595;3,254278713;0,139722019;19,15156693;0,139722019;0,044623263;5,04608632;0,003657644;0
Aurora do Pará (PA);2017;1500958;1108;0;2419;27,61;25,30426083;0,99368231;2,276357401;0,142599278;19,08696209;0,142599278;0,051444043;2,822202166;NA;0,003610108
Barra Longa (MG);2017;3105707;69;0;1032,4;21,08;34,78789855;0,811594203;13,60985507;0,376811594;19,07928986;0,376811594;0,043478261;2,782608696;0,086956522;0,202898551
Tapiraí (SP);2017;3553500;10;0;1645,15;20,9925;73,1117;0,8;35,8618;0,6;19,0721;0,6;0,2;6,3;1,3;0,1
Governador Dix0Sept Rosado (RN);2017;2404309;241;0;631,4;27,0625;39,17946473;0,89626556;12,79954772;0,261410788;19,05380498;0,261410788;0,165975104;2,68879668;0,132780083;0,053941909
Cachoeiras de Macacu (RJ);2017;3300803;632;0;955,3;21,475;8,455621835;0,865506329;14,37134019;0,213607595;19,00047943;0,213607595;0,018987342;2,001582278;0,359177215;0
Almeirim (PA);2017;1500503;266;0;2117,909302;26,80093;82,17409023;0,898496241;4,62037218;0,127819549;18,96972556;0,127819549;0,022556391;4,063909774;0;0,011278195
Novo Horizonte (BA);2017;2923035;231;0;509;23,3;11,55765368;0,588744589;10,67374459;0,164502165;18,94078355;0,164502165;0,74025974;3,082251082;NA;0,004329004
Capixaba (AC);2017;1200179;491;0;1816,95;27,2375;47,66389206;0,965376782;19,25792464;0,101832994;18,93415682;0,101832994;0,044806517;3,069246436;0,071283096;NA
São Gonçalo do Piauí (PI);2017;2209807;227;0;1227,1;28,925;11,02328194;0,938325991;14,14946256;0,207048458;18,92777974;0,207048458;0,066079295;1,77092511;0,088105727;NA
Cabrobó (PE);2017;2603009;213;0;296,4;26,9325;23,22247418;0,830985915;20,06184507;0,154929577;18,8644554;0,154929577;0,910798122;3,436619718;0,131455399;0,03286385
Parobé (RS);2017;4314050;91;0;1725,8;20,78;16,50384615;0,736263736;13,08001099;0,340659341;18,82308791;0,340659341;0,087912088;1,956043956;0,395604396;0
Porto Velho (RO);2017;1100205;944;0;1581,468966;26,56;64,28150953;0,883474576;9,860806144;0,129237288;18,7029428;0,129237288;0,201271186;3,13559322;0,105932203;0,026483051
Buriti Bravo (MA);2017;2102309;458;1;1179,2;28,376667;23,54282969;0,941048035;12,74731441;0,150655022;18,688869;0,150655022;0,017467249;2,941048035;0,03930131;0,183406114
São Domingos do Maranhão (MA);2017;2110708;677;1;1120,3;28,026667;27,9429291;0,940915805;11,15072083;0,131462334;18,63868833;0,131462334;0,038404727;2,841949778;0,044313146;0,019202363
Trairão (PA);2017;1508050;110;0;2662,4;28,68;150,1506455;1;8,176236364;0,236363636;18,61986364;0,236363636;0,054545455;3;0,190909091;0,009090909
Pará de Minas (MG);2017;3147105;98;0;879,8;20,625;40,81840816;0,816326531;30,53561224;0,428571429;18,60121429;0,428571429;0,030612245;2,428571429;0,469387755;0,040816327
Cafarnaum (BA);2017;2905305;1274;0;347,1;22,55;11,72029199;0,989795918;22,80958556;0,125588697;18,59854553;0,125588697;0,372841444;3,361067504;0,127158556;0,007849294
Córrego do Bom Jesus (MG);2017;3119906;24;0;1135,5;17,955;9,429583333;0,875;10,11720833;0,333333333;18,53391667;0,333333333;0,208333333;2,166666667;0,25;0,25
Nioaque (MS);2017;5005806;307;0;1467,32;24,916;16,59329967;0,931596091;14,12654723;0,179153094;18,53249186;0,179153094;0,013029316;2,348534202;0,110749186;0,019543974
Itá (SC);2017;4208005;156;0;2371,7;19,75;11,29526923;0,487179487;18,6731859;0,384615385;18,48430769;0,384615385;0,006410256;2,025641026;0,217948718;0
Buriti (MA);2017;2102200;2066;1;1449,15;28,525;11,31591772;0,987415295;7,300486931;0,126331075;18,47481075;0,126331075;0,004840271;1,991771539;0,039690223;0,059535334
Ferreira Gomes (AP);2017;1600238;95;0;1562,8;27,5775;62,73546316;0,936842105;7,351410526;0,178947368;18,46685263;0,178947368;0,084210526;4,178947368;0;0
Sul Brasil (SC);2017;4217758;137;0;2601,3;20,06;11,94484672;0,729927007;18,27508029;0,255474453;18,39859124;0,255474453;0;2,773722628;0,211678832;0,437956204
Ouro Verde de Goiás (GO);2017;5215405;45;0;1276;24,97;28,67855556;0,911111111;25,84513333;0,177777778;18,38564444;0,177777778;0,333333333;3,444444444;0,311111111;0
Extremoz (RN);2017;2403608;18;0;581,8;26,6;17,33455556;0,944444444;17,11283333;0,388888889;18,35594444;0,388888889;0,444444444;2,222222222;NA;0,055555556
São José do Hortêncio (RS);2017;4318481;90;0;1680,2;19,99;8,866777778;0,6;6,980644444;0,344444444;18,34948889;0,344444444;0,033333333;1,822222222;0,422222222;0
Itatiaiuçu (MG);2017;3133709;33;0;1136,3;19,78;36,18193939;0,848484848;42,45345455;0,212121212;18,34372727;0,212121212;0,181818182;2,636363636;0,696969697;0,03030303
Água Preta (PE);2017;2600401;679;0;1345,2;24,54;10,76231517;0,605301915;7,518098675;0,138438881;18,33748748;0,138438881;0,042709867;4,125184094;0,014727541;NA
Aquidauana (MS);2017;5001102;279;0;1276,08;26,194;150,9763297;0,960573477;11,1785233;0,254480287;18,30054839;0,254480287;0,010752688;2,856630824;0,143369176;0
Chorrochó (BA);2017;2907707;43;0;372,533333;26,146667;20,41860465;0,930232558;9,089930233;0,069767442;18,28853488;0,069767442;0,720930233;3,162790698;NA;NA
Araguanã (MA);2017;2100873;71;0;1856,5;27,695;43,16901408;0,943661972;2,527450704;0,169014085;18,26228169;0,169014085;0,014084507;5,985915493;NA;NA
Areia Branca (SE);2017;2800506;396;0;970;25,85;6,130936869;0,994949495;12,59122222;0,25;18,23785859;0,25;0,136363636;2,830808081;0,012626263;0,007575758
São Félix de Minas (MG);2017;3161056;32;0;802,9;23,62;16,160125;0,75;9,48203125;0,28125;18,22884375;0,28125;0,15625;2,4375;0;0
Parecis (RO);2017;1101450;14;0;1971,3;25,366667;18,40857143;0,714285714;5,622;0,285714286;18,2105;0,285714286;0,214285714;5,5;0;0
Pracuúba (AP);2017;1600550;55;0;1807,5;26,873333;76,09276364;0,981818182;4,912745455;0,072727273;18,19832727;0,072727273;0,163636364;3,509090909;0;NA
Alto Feliz (RS);2017;4300570;91;0;1680,2;18,95;10,13206593;0,868131868;13,80492308;0,296703297;18,19337363;0,296703297;0,032967033;2,274725275;0,351648352;0,021978022
