municipio;ano;codigo;quant__estabelecimentos;dummy_mtpb;PREC2017_mean;TEMP_2017_mean;area_fr;s_assistencia_fr;despesas_fr;idade_m75_fr;producao_fr;propietarios_fr;quant_estab_irrigacao_fr;quant_pessoas_ocupadas_fr;quant_trator_implem_fr;num_estab_armazenadoras_fr
Sapezal (MT);2017;5107875;80;0;1962,073333;26,333333;7597,578;0,0625;22373,15806;0,225;37229,11674;0,225;0,0625;77,525;32,5;0,5
Caçu (GO);2017;5204300;6;0;1406,966667;26,96;6230,843333;0,333333333;28438,05967;0,333333333;29108,2905;0,333333333;0,166666667;108,1666667;12;0
União de Minas (MG);2017;3170438;4;0;1246,7;26,846667;4526,56;0;11191,79;0,25;17716,75;0,25;0;34,25;4,75;0
Iturama (MG);2017;3134400;19;0;1246,7;26,63;2968,793158;0,368421053;8972,491684;0,263157895;14977,46721;0,263157895;0,210526316;40,94736842;11,05263158;0,052631579
São Manuel (SP);2017;3550100;14;0;1453,4;21,21;2796,380643;0,071428571;19831,83593;0,5;13979,54957;0,5;0,214285714;104,7142857;20,85714286;0
Campos de Júlio (MT);2017;5102686;74;0;1906,95;25,8825;4329,259324;0,081081081;7874,02627;0,135135135;13656,59977;0,135135135;0,040540541;26,33783784;14,56756757;0,459459459
Campo Novo do Parecis (MT);2017;5102637;156;0;1999,144444;26,5;3383,855622;0,147435897;6560,810673;0,179487179;13164,05662;0,179487179;0,076923077;21,32692308;13,16025641;0,282051282
Américo Brasiliense (SP);2017;3501707;4;0;1162,35;21,925;2911,7925;0,25;102473,163;0;11789,8355;0;0;754,25;100,75;NA
Santo Antônio do Leste (MT);2017;5107792;52;0;1951,233333;26,038333;3266,296558;0,115384615;7139,283346;0,211538462;11652,94533;0,211538462;0,115384615;31,86538462;12,69230769;0,346153846
Gouvelândia (GO);2017;5209150;18;0;1373,5;27,72;2111,419444;0,222222222;10281,8205;0,222222222;10910,97194;0,222222222;0;61,66666667;10,16666667;0,055555556
Lambari D'Oeste (MT);2017;5105234;22;0;1362,366667;27,263333;1259,935;0,863636364;1877,642727;0,136363636;10839,12;0,136363636;0,045454545;15,72727273;4,681818182;0
Alto Taquari (MT);2017;5100607;48;0;1536,1;25,006667;2107,205917;0,416666667;3169,281875;0,0625;10110,1936;0,0625;0,020833333;26,0625;9,229166667;0,270833333
Costa Rica (MS);2017;5003256;83;0;1549,333333;25,486667;2614,115253;0,21686747;7601,955048;0,168674699;9842,362108;0,168674699;0,036144578;29,1686747;10,80722892;0,204819277
Itiquira (MT);2017;5104609;86;0;1450,188889;26,67;3023,950349;0,151162791;6673,181093;0,244186047;9557,966198;0,244186047;0,058139535;23,80232558;14,41860465;0,360465116
São Félix do Araguaia (MT);2017;5107859;85;0;2065,0375;29,588125;5513,312118;0,647058824;4727,683612;0,141176471;9276,448588;0,141176471;0,047058824;21,90588235;9,164705882;0,129411765
Santa Rita do Trivelato (MT);2017;5107768;74;0;1904,057143;26,721429;3361,254595;0,27027027;6714,283216;0,189189189;8810,700432;0,189189189;0,067567568;11,10810811;12,86486486;0,27027027
Meridiano (SP);2017;3529609;16;0;1239,1;25,62;385,579625;0,5625;8672,2745;0,25;8792,694563;0,25;0,0625;90,8125;9,5;0,25
Itarumã (GO);2017;5211305;14;0;1397,45;26,826667;2645,4335;0,642857143;9531,656214;0,214285714;8597,018857;0,214285714;0,285714286;38,28571429;6,857142857;0,071428571
Sonora (MS);2017;5007935;31;0;1503,0125;26,20875;3480,656387;0,258064516;3784,810452;0,258064516;8555,828903;0,258064516;0;11,29032258;16;0,258064516
Carneirinho (MG);2017;3114550;14;0;1264,2;26,676;1741,355357;0,214285714;6692,889929;0,214285714;8554,067143;0,214285714;0,071428571;29,85714286;8,5;0,071428571
Limeira do Oeste (MG);2017;3138625;29;0;1246,7;26,8225;1800,374931;0,517241379;5551,153448;0,24137931;8388,253862;0,24137931;0,034482759;21,44827586;NA;0,034482759
Porto dos Gaúchos (MT);2017;5106802;84;0;1860,4;27,125;4470,670595;0,357142857;4419,45156;0,142857143;8374,838143;0,142857143;0,035714286;10,35714286;10,39285714;0,297619048
Alto Garças (MT);2017;5100409;47;0;1542,833333;24,983333;2156,684894;0,340425532;5370,318638;0,212765957;8270,767362;0,212765957;0,021276596;27,10638298;13;0,319148936
Aporé (GO);2017;5201504;13;0;1463,66;25,35;2813,721538;0,076923077;15220,59608;0,153846154;8190,207923;0,153846154;0,076923077;49,69230769;10,38461538;0,076923077
Bom Jesus do Araguaia (MT);2017;5101852;48;0;2173,8;28,685;3197,302917;0,541666667;5739,816583;0,0625;8149,345167;0,0625;0;13,25;11,16666667;0,104166667
Porteirão (GO);2017;5218052;22;0;1372,233333;27,333333;2100,481545;0,045454545;5473,498227;0,227272727;7999,698818;0,227272727;0,227272727;20,95454545;13,27272727;NA
NA;2017;5107354;37;0;2183,2;29,78875;3038,675351;0,648648649;2787,668811;0,108108108;7985,726432;0,108108108;0;15,78378378;7,162162162;0,162162162
Novo São Joaquim (MT);2017;5106281;55;0;1732,433333;26,106667;2642,506;0,309090909;5453,446818;0,181818182;7858,914018;0,181818182;0,127272727;21,25454545;14,03636364;0,254545455
Chapadão do Céu (GO);2017;5205471;89;0;1488,2;24,7375;1750,477191;0,202247191;6375,175742;0,168539326;7814,124775;0,168539326;0,011235955;22,07865169;10,58426966;0,146067416
Jateí (MS);2017;5005103;25;0;1716,2;23,735;1862,3116;0,4;2503,75724;0,24;7519,94432;0,24;0,04;6,92;5,32;0,12
Tibau (RN);2017;2411056;16;0;875,9;27,7;492,6625;0,4375;13455,5615;0,1875;7410,97125;0,1875;0,8125;179,6875;11,9375;NA
Chapadão do Sul (MS);2017;5002951;78;0;1511,071429;25,758571;1964,609359;0,102564103;4383,178179;0,166666667;7389,86909;0,166666667;0,025641026;32,92307692;13,47435897;0,256410256
Brasnorte (MT);2017;5101902;132;0;2010,835714;27,302143;4044,841311;0,454545455;3122,356409;0,151515152;7215,986182;0,151515152;0,053030303;17,78030303;8,257575758;0,189393939
Paranaiguara (GO);2017;5216304;16;0;1373,5;27,72;1361,773875;0,5625;2073,779313;0,25;7036,731;0,25;0,5;47,375;5,0625;0
Cachoeira Alta (GO);2017;5204102;9;0;1414,45;27,3625;1384,996889;0,666666667;7397,501222;0,111111111;6920,712222;0,111111111;0,111111111;30,44444444;3,333333333;0
Nova Mutum (MT);2017;5106224;281;0;1898,127273;26,927273;2082,90452;0,167259786;4527,290968;0,160142349;6493,26553;0,160142349;0,06405694;9,491103203;9,483985765;0,252669039
Tesouro (MT);2017;5108105;33;0;1639,05;25,375;2351,032212;0,606060606;3473,416364;0,363636364;6296,172455;0,363636364;0,272727273;17,36363636;10,39393939;0,333333333
Valparaíso (SP);2017;3556305;34;0;1233,2;26,37;1885,819559;0,176470588;716,7591765;0,382352941;6243,856265;0,382352941;0,029411765;32,73529412;12,35294118;0,088235294
Luís Antônio (SP);2017;3527603;21;0;1148,6;21,98;1598,547143;0,285714286;13389,40338;0,571428571;6233,319286;0,571428571;0,142857143;110,5238095;14,19047619;0,095238095
Angélica (MS);2017;5000856;41;0;1730,075;24,1875;1660,03561;0,512195122;23943,62941;0,170731707;6149,836537;0,170731707;0;132,097561;13,09756098;0,024390244
Aurora do Tocantins (TO);2017;1702703;10;1;1218,4;24,16;1558,9575;0,7;2335,488;0,5;6057,064;0,5;NA;5,4;3,5;0,1
Primavera do Leste (MT);2017;5107040;222;0;1814,485714;25,708571;1933,479369;0,085585586;4043,38023;0,198198198;5970,542617;0,198198198;0,432432432;14,41891892;10,77477477;0,27027027
Nova Maringá (MT);2017;5108907;91;0;2008,666667;27,100833;4119,505495;0,098901099;3705,584165;0,087912088;5744,309374;0,087912088;0,054945055;9,692307692;9,582417582;0,10989011
Querência (MT);2017;5107065;270;0;2222,383333;28,701667;2925,453593;0,259259259;4187,3436;0,103703704;5715,736737;0,103703704;0,048148148;16,59259259;8,140740741;0,092592593
Lagoa da Confusão (TO);2017;1711902;59;1;1301,722222;29,188889;1611,035254;0,440677966;3234,166102;0,118644068;5674,762034;0,118644068;0,796610169;10,18644068;10,06779661;0,152542373
Tapurah (MT);2017;5108006;139;0;2024,5;26,9775;1654,307489;0,09352518;3668,183065;0,071942446;5639,340921;0,071942446;0,050359712;8,73381295;8,057553957;0,122302158
São Francisco de Sales (MG);2017;3161304;15;0;1290,8;26,185;1387,806333;0,533333333;5078,380333;0,133333333;5628,898467;0,133333333;0,2;34,46666667;6,733333333;0,133333333
General Carneiro (MT);2017;5103908;51;0;1606,2;26;1686,287765;0,68627451;2720,160765;0,196078431;5556,771196;0,196078431;0,156862745;12,66666667;8,392156863;0,156862745
Pontes Gestal (SP);2017;3540309;17;0;1294,8;25,47;1774,342706;0,529411765;11513,10765;0,235294118;5529,651588;0,235294118;0,117647059;15,94117647;9,117647059;0,058823529
Tasso Fragoso (MA);2017;2112001;87;1;1246,38;27,048;2073,402851;0,747126437;3454,805839;0,149425287;5490,398989;0,149425287;0,08045977;15,35632184;4,620689655;0,137931034
Aparecida do Taboado (MS);2017;5001003;18;0;1284,74;26,538;1793,866667;0,666666667;5099,474056;0,388888889;5420,627222;0,388888889;0,111111111;26,77777778;8,555555556;0,166666667
Sorriso (MT);2017;5107925;515;0;2017,144444;27,027778;1523,032717;0,161165049;3576,882629;0,149514563;5395,243843;0,149514563;0,099029126;6,667961165;7,937864078;0,155339806
Planalto da Serra (MT);2017;5106455;22;0;1900;25,9725;2606,67;0,545454545;3046,437227;0,227272727;5264,872091;0,227272727;0;11,72727273;8,409090909;0,136363636
Dom Aquino (MT);2017;5103601;44;0;1714,8;25,833333;1202,582955;0,454545455;3744,035705;0,181818182;5245,76625;0,181818182;0,090909091;10,02272727;6,5;0,204545455
Magda (SP);2017;3528304;16;0;1239,1;25,69;1571,58125;0,375;31954,78331;0,3125;5183,141625;0,3125;0,125;12,375;5,75;0,0625
Quirinópolis (GO);2017;5218508;119;0;1373,5;27,59;1047,367899;0,445378151;2031,048109;0,235294118;5105,201328;0,235294118;0,142857143;27,13445378;6,378151261;0,033613445
Serranópolis (GO);2017;5220504;55;0;1461,257143;25,135714;1566,1272;0,090909091;4468,875873;0,181818182;5088,684182;0,181818182;0,054545455;13,05454545;8,781818182;0,109090909
Lucas do Rio Verde (MT);2017;5105259;220;0;2012,5;27,105;1369,194364;0,113636364;3603,563182;0,177272727;5001,702391;0,177272727;0,127272727;8,336363636;9,095454545;0,095454545
Ibaté (SP);2017;3519303;16;0;1256,2;21,4175;1105,787875;0,375;237,325625;0,1875;4978,643313;0,1875;0,0625;31,1875;4,25;0
São José do Rio Claro (MT);2017;5107305;93;0;1992,483333;27,06;2051,25814;0,301075269;6773,437785;0,139784946;4978,36671;0,139784946;0,096774194;14,67741935;16,03225806;0,11827957
Montividiu (GO);2017;5213756;165;0;1411,38;26,602;967,9298788;0,290909091;3230,225539;0,260606061;4976,021679;0,260606061;0,042424242;9,066666667;7,618181818;0,163636364
Nova Independência (SP);2017;3533205;10;0;1205,3;26,585;1583,524;0,5;30090,4115;0,3;4941,1322;0,3;0,1;192,9;8,6;0
Itaúba (MT);2017;5104559;32;0;1802,757143;27,828571;4234,237813;0,09375;3682,153438;0,1875;4912,104219;0,1875;0,0625;10,0625;11,21875;0,1875
Populina (SP);2017;3540408;8;0;1242,9;26,27;1659,163125;0,25;2212,374125;0,25;4805,407125;0,25;0,375;2,5;1,25;0,125
Guiratinga (MT);2017;5104203;55;0;1552,8125;25,58875;1354,705455;0,454545455;3245,569418;0,072727273;4777,021309;0,072727273;0,054545455;11,69090909;8,309090909;0,163636364
Getulina (SP);2017;3517000;26;0;1274;24,7;1371,510538;0,461538462;275,0393846;0,153846154;4742,096346;0,153846154;0,038461538;2,961538462;2,769230769;0,038461538
Maceió (AL);2017;2704302;8;0;1998,7;25,13;1269,3925;0,5;13078,801;0;4727,96025;0;0,875;244,25;3,75;0
Diamantino (MT);2017;5103502;301;0;1905,518182;26,936364;1636,965691;0,3089701;2933,900631;0,166112957;4722,738588;0,166112957;0,056478405;10,59468439;7,757475083;0,289036545
Paranatinga (MT);2017;5106307;182;0;2047,315789;27,320526;3116,932033;0,5;2768,750374;0,159340659;4671,74794;0,159340659;0,032967033;10,88461538;7,423076923;0,126373626
Planalto (SP);2017;3539608;20;0;1270,475;25,52;962,2;0,15;605,07025;0,35;4661,5057;0,35;0,05;4,9;4,75;0,15
Martinópolis (SP);2017;3529203;42;0;1370,4;24,956;1376,495381;0,261904762;3431,8905;0,119047619;4581,62569;0,119047619;0,119047619;30,71428571;7,642857143;0,047619048
Paulo de Faria (SP);2017;3536604;34;0;1314,85;25,465;1456,872647;0,323529412;1689,147824;0,323529412;4488,925088;0,323529412;0,117647059;6,323529412;4,617647059;0,029411765
Campo Florido (MG);2017;3111408;74;0;1544,8;24,19;838,4548514;0,283783784;2337,929743;0,202702703;4365,309703;0,202702703;0,27027027;17,97297297;7,675675676;0,054054054
Ubarana (SP);2017;3555356;9;0;1292,8;25,29;1783,223333;0,222222222;10751,942;0,222222222;4332,248;0,222222222;0,111111111;94,55555556;11,44444444;0,111111111
Guararapes (SP);2017;3518206;59;0;1249,833333;26,036667;927,4018305;0,237288136;848,4487966;0,322033898;4321,551068;0,322033898;0,152542373;9,847457627;5,220338983;0,101694915
Campo Alegre de Goiás (GO);2017;5204805;95;0;1203,5;24,28;1305,488842;0,073684211;2153,039368;0,147368421;4299,515463;0,147368421;0,326315789;8,052631579;10,08421053;0,4
Santa Carmem (MT);2017;5107248;111;0;2006,466667;27,735;1776,628144;0,243243243;2617,664018;0,18018018;4186,879856;0,18018018;0,063063063;6,648648649;7,117117117;0,126126126
Icém (SP);2017;3519808;12;0;1294,8;25,16;1666,358333;0,083333333;205,9905;0,083333333;4170,90625;0,083333333;0,083333333;11,83333333;2,5;0,166666667
Canarana (MT);2017;5102702;180;0;2066,816667;27,6275;3242,876667;0,194444444;3511,999839;0,172222222;4170,267894;0,172222222;0,033333333;9,611111111;9,633333333;0,077777778
Narandiba (SP);2017;3532207;26;0;1463,1;24,705;1348,493846;0,423076923;471,5338077;0,269230769;4167,214308;0,269230769;0,153846154;3,884615385;1,961538462;0,076923077
Cafelândia (SP);2017;3508801;30;0;1292,8;24,015;1237,881333;0,233333333;4711,621467;0,4;4120,7246;0,4;0,166666667;18,36666667;5,133333333;0,066666667
Iacanga (SP);2017;3519105;26;0;1381,725;22,955;942,1893462;0,307692308;4473,936115;0,307692308;4118,498269;0,307692308;0,153846154;62,03846154;13,23076923;0
Taciba (SP);2017;3552908;33;0;1463,1;24,56;906,3487273;0,151515152;895,8052727;0,303030303;4090,689333;0,303030303;0,060606061;5;6,575757576;0,060606061
Mineiros (GO);2017;5213103;177;0;1472,08;24,771;1137,438345;0,141242938;2617,264271;0,197740113;4060,295661;0,197740113;0,028248588;7,423728814;6,785310734;0,11299435
Naviraí (MS);2017;5005707;97;0;1815,5;23,6075;1244,048103;0,216494845;2362,781753;0,175257732;4058,240021;0,175257732;0,051546392;10,29896907;6,577319588;0,051546392
Santa Vitória (MG);2017;3159803;30;0;1314,983333;27,026667;1737,345667;0,3;9360,8272;0,333333333;4054,069167;0,333333333;0,066666667;60,46666667;6,033333333;0,066666667
Serrana (SP);2017;3551504;7;0;1148,6;22,3;1319,423571;0,285714286;63957,13571;0,285714286;4007,5;0,285714286;0,142857143;275,4285714;37,28571429;NA
Alto Araguaia (MT);2017;5100300;39;0;1542,471429;25,042857;1623,416923;0,358974359;2469,878974;0,282051282;3968,525744;0,282051282;0;12,07692308;6,717948718;0,025641026
Luís Eduardo Magalhães (BA);2017;2919553;209;1;1035,48;24,562;1613,193914;0,473684211;3261,848689;0,138755981;3952,599096;0,138755981;0,234449761;9,837320574;6,650717703;0,186602871
Bom Jesus de Goiás (GO);2017;5203500;130;0;1344,05;26,99;768,9738769;0,476923077;2504,9044;0,246153846;3833,792492;0,246153846;0,053846154;14;5,553846154;0
Nova Ubiratã (MT);2017;5106240;381;0;2039,709091;27,504545;1718,604488;0,244094488;2366,620459;0,120734908;3817,86599;0,120734908;0,041994751;7,039370079;5,535433071;0,091863517
Guariba (SP);2017;3518602;36;0;1176,1;22,91;624,8878056;0,194444444;472,9908611;0,416666667;3799,055778;0,416666667;0,027777778;40,58333333;7,027777778;0,138888889
Gaúcha do Norte (MT);2017;5103858;152;0;2150,621429;28,202143;2194,247763;0,407894737;2928,371592;0,118421053;3790,157033;0,118421053;0,026315789;23,59868421;7,302631579;0,085526316
Vicentinópolis (GO);2017;5222054;64;0;1371,6;27,255;787,7717188;0,421875;1159,619234;0,296875;3783,382313;0,296875;0,28125;26,1875;8,140625;NA
Orlândia (SP);2017;3534302;27;0;1489,4;22,12;849,194;0,333333333;6507,950074;0,481481481;3753,12537;0,481481481;0,222222222;112,6296296;19,66666667;0,037037037
Cabeceira Grande (MG);2017;3109451;25;0;1065,475;24,1975;891,524;0,52;1146,70676;0,44;3740,21792;0,44;0,32;10,08;7,28;0,2
Santa Adélia (SP);2017;3545605;34;0;1176,1;23,5;718,0354706;0,264705882;393,3943529;0,382352941;3688,498647;0,382352941;0,205882353;4,323529412;3,147058824;0,058823529
Tabaporã (MT);2017;5107941;164;0;1793,463636;27,330909;1765,502409;0,432926829;1686,073049;0,06097561;3678,011098;0,06097561;0,030487805;6,603658537;6,304878049;0,134146341
Pirapozinho (SP);2017;3539202;16;0;1463,1;24,87;1416,488875;0,75;4686,497875;0,375;3636,601438;0,375;0,25;29,8125;6,125;0
Edéia (GO);2017;5207402;101;0;1371,6;27,13;890,1128515;0,207920792;1065,892812;0,168316832;3625,963;0,168316832;0,099009901;14,74257426;7,336633663;0,01980198
Formosa do Rio Preto (BA);2017;2911105;523;1;971,628571;24,683571;1524,374283;0,678776291;2257,764793;0,198852772;3609,999625;0,198852772;0,019120459;8,200764818;5,256214149;0,103250478
Buritizal (SP);2017;3508207;20;0;1489,4;22,96;723,9205;0,4;14872,8701;0,25;3557,2986;0,25;0,1;4,45;8,8;0,1
Paraíso das Águas (MS);2017;5006275;71;0;1566,3875;25,7575;1609,736408;0,183098592;1633,267986;0,154929577;3540,81693;0,154929577;0;6,873239437;6,915492958;0,056338028
Sud Mennucci (SP);2017;3552304;17;0;1214,65;26,54;1100,818765;0,470588235;5466,312118;0,117647059;3499,828765;0,117647059;0,352941176;8,058823529;11;0
Ipuã (SP);2017;3521309;56;0;1403,85;23,12;667,1991786;0,25;1398,543196;0,410714286;3471,054393;0,410714286;0,125;3,017857143;4,285714286;0
Maracaju (MS);2017;5005400;401;0;1577,94;23,914;906,0207731;0,264339152;2386,910466;0,199501247;3466,767007;0,199501247;0,009975062;11,40399002;6,950124688;0,142144638
Morro Agudo (SP);2017;3531902;142;0;1375,333333;23,173333;777,464669;0,281690141;1812,518211;0,35915493;3449,466113;0,35915493;0,056338028;50,19014085;10,73943662;0,021126761
Ouro Verde (SP);2017;3534807;18;0;1205,3;26,255;779,1262222;0,444444444;4129,847056;0,277777778;3432,850667;0,277777778;0,166666667;38,22222222;3,222222222;0,055555556
Rubiácea (SP);2017;3544400;18;0;1255,2;26,11;702,1716111;0,166666667;975,4451111;0,388888889;3378,216333;0,388888889;0,166666667;6,055555556;3,777777778;0,111111111
Adolfo (SP);2017;3500204;11;0;1292,8;25,29;884,5572727;0,090909091;323,7727273;0,181818182;3358,011182;0,181818182;0,181818182;5,727272727;2,181818182;NA
Quatá (SP);2017;3541703;32;0;1465,3;23,89;1117,884375;0,71875;125,763875;0,125;3318,033031;0,125;0,0625;64,65625;9,625;0
Santa Vitória do Palmar (RS);2017;4317301;138;0;1240,85;18,541667;1347,361594;0,239130435;2231,074072;0,239130435;3311,685051;0,239130435;0,833333333;14,61594203;11,47826087;0,275362319
Botucatu (SP);2017;3507506;36;0;1518,95;20,8;748,9387222;0,472222222;1023,168167;0,333333333;3305,077083;0,333333333;0,25;9,416666667;9,638888889;0,111111111
Pirajuba (MG);2017;3150703;41;0;1431,55;24,62;695,0504878;0,12195122;4114,708585;0,317073171;3273,48239;0,317073171;0,341463415;39,6097561;12,46341463;0,146341463
Nova Alvorada do Sul (MS);2017;5006002;181;0;1743,371429;24,221429;947,812453;0,723756906;2978,292569;0,198895028;3246,356862;0,198895028;0,016574586;11,77348066;3,132596685;0,027624309
Feliz Natal (MT);2017;5103700;153;0;2154;28,516667;1720,624451;0,424836601;2141,619647;0,14379085;3233,213784;0,14379085;0,026143791;12,83660131;5,666666667;0,058823529
Montes Claros de Goiás (GO);2017;5213707;37;0;1379,12;28,83;1259,704108;0,378378378;1503,09027;0,189189189;3217,146649;0,189189189;0,162162162;20,08108108;6,459459459;0,189189189
Junqueirópolis (SP);2017;3526001;36;0;1205,3;26,2425;777,4009722;0,472222222;3891,53525;0,25;3186,031139;0,25;0,083333333;19,30555556;7,916666667;0,083333333
Tupaciguara (MG);2017;3169604;64;0;1336,8;25,384;726,4569063;0,28125;2125,257125;0,328125;3177,349781;0,328125;0,25;20,515625;9,109375;0,0625
Zacarias (SP);2017;3557154;20;0;1262,366667;25,63;797,05175;0,75;499,098;0,25;3170,59035;0,25;0;5,3;3,15;NA
Itaqui (RS);2017;4310603;157;0;2012,76;21,124;1328,310892;0,089171975;2337,247159;0,242038217;3168,072771;0,242038217;0,821656051;10,13375796;11,51592357;0,21656051
Riolândia (SP);2017;3544202;30;0;1314,85;25,665;1014,148333;0,633333333;779,7339667;0,366666667;3161,331033;0,366666667;0,3;4,2;3,066666667;0
Itajobi (SP);2017;3521903;36;0;1234,45;23,92;695,0546667;0,611111111;101,1394167;0,166666667;3131,209222;0,166666667;0,222222222;2,638888889;1,222222222;0
Paraguaçu Paulista (SP);2017;3535507;100;0;1465,3;23,42;778,96282;0,75;6308,68893;0,2;3070,64652;0,2;0,07;55,51;8,19;0,03
Juti (MS);2017;5005152;64;0;1792,95;23,26;706,3018125;0,421875;921,6787344;0,109375;3069,347797;0,109375;0,015625;4,75;4,484375;0,0625
Ituverava (SP);2017;3524105;90;0;1403,85;23,405;648,0148889;0,3;796,0072444;0,222222222;3051,587467;0,222222222;0,144444444;8,288888889;5,611111111;0
Jussara (GO);2017;5212204;18;0;1360,514286;28,867143;1513,167444;0,388888889;1195,659944;0,222222222;3035,984667;0,222222222;0,5;24,88888889;5,777777778;0,333333333
Sales (SP);2017;3544806;22;0;1292,8;24,815;599,018;0,181818182;205,7212273;0,454545455;3011,528682;0,454545455;0;2,681818182;2;0,181818182
Pereira Barreto (SP);2017;3537404;55;0;1206,5;26,59;772,8217818;0,563636364;4822,747127;0,272727273;3008,485164;0,272727273;0,236363636;29,8;5,345454545;0,036363636
Palestina (SP);2017;3535002;44;0;1294,8;25,14;833,3700455;0,590909091;7849,881364;0,318181818;3005,014591;0,318181818;0,136363636;27,93181818;5,454545455;0
Campo Verde (MT);2017;5102678;462;0;1743,883333;25,795;611,7579848;0,688311688;2218,537041;0,162337662;2987,791556;0,162337662;0,075757576;7,441558442;4,448051948;0,125541126
Caiapônia (GO);2017;5204409;172;0;1426,414286;26,51;907,2287791;0,447674419;629,6281628;0,11627907;2980,927;0,11627907;0,023255814;5,796511628;6,145348837;0,046511628
Conceição das Alagoas (MG);2017;3117306;162;0;1431,55;24,2425;589,6206111;0,154320988;3315,635259;0,179012346;2962,165821;0,179012346;0,228395062;10,62345679;6,950617284;0,055555556
Santa Juliana (MG);2017;3157708;89;0;1528,1;22,8875;422,4463371;0,662921348;2545,737663;0,258426966;2945,989753;0,258426966;0,191011236;23,62921348;4,95505618;0,056179775
Guaíra (SP);2017;3517406;191;0;1318,3;24,046667;558,3782094;0,214659686;2822,910377;0,277486911;2944,73344;0,277486911;0,57591623;42,30890052;8,32460733;0,010471204
Lençóis Paulista (SP);2017;3526803;69;0;1453,4;21,68;729,4788116;0,52173913;3759,184913;0,391304348;2913,750435;0,391304348;0,188405797;24,55072464;6,579710145;0,101449275
Goiatuba (GO);2017;5209101;224;0;1354,2;26,723333;727,3771964;0,580357143;1821,729897;0,245535714;2907,42908;0,245535714;0,133928571;13,16517857;6,897321429;0,013392857
São Joaquim da Barra (SP);2017;3549409;47;0;1403,85;23,12;628,6725745;0,489361702;13830,64566;0,446808511;2888,882085;0,446808511;0,106382979;139,5744681;17,12765957;0,021276596
José Bonifácio (SP);2017;3525706;62;0;1293,8;25,24;737,1782903;0,35483871;4067,971968;0,241935484;2858,183371;0,241935484;0,080645161;26,16129032;6,5;0,096774194
Ribeiro Gonçalves (PI);2017;2208908;122;1;1195,611111;27,353333;1226,168361;0,745901639;1600,369131;0,221311475;2848,794344;0,221311475;0,040983607;6,37704918;2,713114754;0,049180328
Barra do Bugres (MT);2017;5101704;89;0;1581,216667;26,9675;922,0511461;0,797752809;1080,528697;0,337078652;2834,00618;0,337078652;0,06741573;9,02247191;2,95505618;0,02247191
Tabapuã (SP);2017;3552601;34;0;1270,5;24,195;600,1510294;0,352941176;576,8423529;0,441176471;2801,368971;0,441176471;0,058823529;7,441176471;3,323529412;0,176470588
Planura (MG);2017;3151602;42;0;1431,55;24,62;481,3809762;0,261904762;2063,435238;0,285714286;2796,060905;0,285714286;0,285714286;10,80952381;8,69047619;0,047619048
Vera (MT);2017;5108501;232;0;2167,5;27,055;940,1396552;0,297413793;1956,352517;0,112068966;2792,993336;0,112068966;0,073275862;4,892241379;5,198275862;0,068965517
Guaraci (SP);2017;3517901;41;0;1306,55;24,71;871,7918293;0,365853659;4250,883732;0,341463415;2790,622878;0,341463415;0,097560976;27,65853659;6,707317073;0,073170732
Tarabai (SP);2017;3553906;10;0;1463,1;25,2;558,7142;0,5;1725,8804;0,3;2727,6927;0,3;0,1;3,1;1;0
Pompéia (SP);2017;3540002;39;0;1360,25;24,31;798,383;0,256410256;764,6808205;0,230769231;2714,175026;0,230769231;0,076923077;5,282051282;7,717948718;0,153846154
Veríssimo (MG);2017;3171105;39;0;1544,8;24,01;637,8474359;0,435897436;3945,634103;0,256410256;2694,20641;0,256410256;0,128205128;10,15384615;2,615384615;0,025641026
Fernandópolis (SP);2017;3515509;24;0;1239,1;25,62;796,4279167;0,416666667;3385,842208;0,25;2693,610833;0,25;0,083333333;36,04166667;7,291666667;0
Estrela do Norte (SP);2017;3515301;16;0;1463,1;24,85;685,800875;0,5625;1792,489688;0,4375;2682,057375;0,4375;0,0625;6;1,0625;0
Barrinha (SP);2017;3505609;15;0;1162,35;22,605;715,5587333;0,066666667;412,1516667;0,133333333;2681,360933;0,133333333;0,133333333;5,8;4,4;NA
Lagoa da Prata (MG);2017;3137205;21;0;1070,3;21,2425;641,3690476;0,476190476;5533,249905;0,428571429;2674,831286;0,428571429;0,095238095;51;6,285714286;0,142857143
Glória D'Oeste (MT);2017;5103957;5;0;1293,766667;27,033333;461,416;0,4;286,3154;0,4;2663,6426;0,4;0,2;10,6;6,8;0
Conquista (MG);2017;3118205;55;0;1515,2;22,693333;660,5167273;0,272727273;2577,493109;0,218181818;2663,125345;0,218181818;0,072727273;10,83636364;NA;0,054545455
Araporã (MG);2017;3103751;35;0;1314,6;25,925;462,4882857;0,742857143;2333,427457;0,114285714;2653,473057;0,114285714;0,257142857;20,74285714;6,914285714;NA
Guará (SP);2017;3517703;57;0;1489,4;22,54;455,2045439;0,333333333;257,0621754;0,438596491;2643,544088;0,438596491;0,157894737;6,912280702;3,578947368;0,052631579
Macedônia (SP);2017;3528205;18;0;1242,9;26,065;692,2629444;0,611111111;1314,467389;0,222222222;2637,492667;0,222222222;0,166666667;1,666666667;1,277777778;0
Cristalina (GO);2017;5206206;482;0;1162,966667;23,99;627,2414585;0,48340249;2647,776801;0,219917012;2633,873193;0,219917012;0,27593361;18,21576763;5,79253112;0,10373444
