"QUANTIDADE";"VALOR";"COD_ENTIDADE";"MATRICULAS";"TAMANHO_ESCOLA";"DUMMY_PARTICIPACAO"
550;"302.445,00";26047845;360;390;"1"
495;"272.200,50";31312274;413;456;"1"
351;"193.014,90";22029524;355;393;"1"
471;"259.002,90";31274330;2010;2163;"1"
415;"228.208,50";28014170;328;361;"1"
288;"158.371,20";27016404;488;533;"1"
1339;"736.316,10";28020308;1049;1149;"1"
322;"177.067,80";51024713;252;288;"1"
441;"242.505,90";11029099;378;419;"1"
368;"202.363,20";50001108;359;423;"1"
298;"163.870,20";51037246;515;559;"1"
539;"296.396,10";28020340;903;1006;"1"
476;"261.752,40";32029292;455;496;"1"
194;"106.680,60";31340812;139;151;"1"
519;"285.398,10";28025903;457;504;"1"
2886;"1.587.011,40";26073471;3328;3498;"1"
386;"212.261,40";29127084;379;415;"1"
375;"206.212,50";31129020;332;382;"1"
593;"326.090,70";28008782;563;614;"1"
377;"207.312,30";50013386;320;363;"1"
40;"21.996,00";31136654;25;33;"1"
22;"12.097,80";15053008;24;29;"1"
391;"215.010,90";51060523;337;354;"1"
411;"226.008,90";16002687;735;820;"1"
496;"272.750,40";42080878;409;443;"1"
273;"150.122,70";28007360;471;507;"1"
587;"322.791,30";29386535;564;609;"1"
393;"216.110,70";12021768;499;544;"1"
501;"275.499,90";17021820;679;767;"1"
528;"290.347,20";24058351;584;636;"1"
895;"492.160,50";13028677;790;851;"1"
596;"327.740,40";52037240;627;707;"1"
184;"101.181,60";26073994;210;235;"1"
694;"381.630,60";13014803;322;375;"1"
505;"277.699,50";41122860;507;546;"1"
878;"482.812,20";41129628;807;862;"1"
526;"289.247,40";42052556;644;720;"1"
675;"371.182,50";50010042;621;679;"1"
1203;"661.529,70";26073498;1065;1117;"1"
499;"274.400,10";12016438;431;467;"1"
448;"246.355,20";53008561;314;363;"1"
488;"268.351,20";15000036;557;592;"1"
438;"240.856,20";31315800;387;419;"1"
92;"50.590,80";26073668;104;114;"1"
655;"360.184,50";14005360;671;721;"1"
159;"87.434,10";11001810;141;163;"1"
756;"415.724,40";50010026;1060;1151;"1"
40;"21.996,00";15052621;61;71;"1"
423;"232.607,70";43104878;446;481;"1"
217;"119.328,30";26143038;217;237;"1"
395;"217.210,50";24144223;628;670;"1"
358;"196.864,20";43092764;436;454;"1"
40;"21.996,00";41041500;36;54;"1"
14;"7.698,60";26073935;19;22;"1"
596;"327.740,40";27216489;651;702;"1"
416;"228.758,40";27042383;484;515;"1"
817;"449.268,30";25072161;781;858;"1"
553;"304.094,70";15033406;594;636;"1"
26;"14.297,40";26073951;37;41;"1"
310;"170.469,00";35273570;239;274;"1"
452;"248.554,80";42005132;349;378;"1"
71;"39.042,90";26143046;65;73;"1"
403;"221.609,70";52027104;376;424;"1"
129;"70.937,10";28020359;182;202;"1"
463;"254.603,70";15028526;482;501;"1"
668;"367.333,20";13085662;633;698;"1"
441;"242.505,90";28009894;375;429;"1"
327;"179.817,30";32035470;323;353;"1"
628;"345.337,20";21148902;274;312;"1"
489;"268.901,10";53009401;522;574;"1"
713;"392.078,70";43104932;1008;1182;"1"
336;"184.766,40";43129161;325;360;"1"
484;"266.151,60";23248297;358;386;"1"
289;"158.921,10";51042851;217;246;"1"
611;"335.988,90";43106684;438;486;"1"
